agent,games,wins,losses,ties,win_rate,avg_money,max_money,min_money,avg_margin,top_strategies,top_opening
Keito,1,0,1,0,0.0,137225.0,137225.0,137225.0,-4488.0,"animal_open:1,melon_rush:1,hire_open_5:1,animal_core:1,hire_max:1","(HIRE)|(HIRE)|(HIRE)|(HIRE)|(HIRE)|(BUY_ANIMAL,SHEEP,2)|(BUY_ANIMAL,COW,2)|(BUY_SEED,WHEAT,7)|(BUY_SEED,MELON,12)"
Scorpi,1,0,1,0,0.0,135164.0,135164.0,135164.0,-13473.0,"animal_open:1,melon_rush:1,hire_open_5:1,animal_core:1,hire_max:1","(HIRE)|(HIRE)|(HIRE)|(HIRE)|(HIRE)|(BUY_ANIMAL,SHEEP,2)|(BUY_ANIMAL,COW,2)|(BUY_SEED,WHEAT,7)|(BUY_SEED,MELON,12)"
MD Concepcion,1,0,1,0,0.0,134380.0,134380.0,134380.0,-147.0,"animal_open:1,melon_rush:1,hire_open_5:1,animal_core:1,hire_max:1","(HIRE)|(HIRE)|(HIRE)|(HIRE)|(HIRE)|(BUY_ANIMAL,SHEEP,2)|(BUY_ANIMAL,COW,2)|(BUY_SEED,WHEAT,7)|(BUY_SEED,MELON,12)"
Akash Deep,1,0,1,0,0.0,129364.0,129364.0,129364.0,-645.0,"animal_open:1,melon_rush:1,hire_open_5:1,animal_core:1,hire_max:1","(HIRE)|(HIRE)|(HIRE)|(HIRE)|(HIRE)|(BUY_ANIMAL,SHEEP,2)|(BUY_ANIMAL,COW,2)|(BUY_SEED,WHEAT,7)|(BUY_SEED,MELON,12)"
Mohit Rao,7,7,0,0,1.0,125702.6,143136.0,85215.0,2452.6,"animal_open:7,melon_rush:7,hire_open_5:7,animal_core:7,hire_max:7","(HIRE)|(HIRE)|(HIRE)|(HIRE)|(HIRE)|(BUY_ANIMAL,SHEEP,2)|(BUY_ANIMAL,COW,2)|(BUY_SEED,WHEAT,7)|(BUY_SEED,MELON,12)"
Artem Voronov,1,0,1,0,0.0,124631.0,124631.0,124631.0,-1887.0,"animal_open:1,melon_rush:1,hire_open_5:1,animal_core:1,hire_max:1","(HIRE)|(HIRE)|(HIRE)|(HIRE)|(HIRE)|(BUY_ANIMAL,SHEEP,2)|(BUY_ANIMAL,COW,2)|(BUY_SEED,WHEAT,7)|(BUY_SEED,MELON,12)"
SALAH ELDIN ELNABARAWY,2,2,0,0,1.0,119833.0,134428.0,105238.0,1803.5,"animal_open:2,melon_rush:2,hire_open_5:2,animal_core:2,hire_max:2","(HIRE)|(HIRE)|(HIRE)|(HIRE)|(HIRE)|(BUY_ANIMAL,SHEEP,2)|(BUY_ANIMAL,COW,2)|(BUY_SEED,WHEAT,7)|(BUY_SEED,MELON,12)"
Konstantin03,1,0,1,0,0.0,119292.0,119292.0,119292.0,-8924.0,"animal_open:1,melon_rush:1,hire_open_5:1,animal_core:1,hire_max:1","(HIRE)|(HIRE)|(HIRE)|(HIRE)|(HIRE)|(BUY_ANIMAL,SHEEP,2)|(BUY_ANIMAL,COW,2)|(BUY_SEED,WHEAT,7)|(BUY_SEED,MELON,12)"
Seb (allegedly),7,6,1,0,0.857,117954.9,148637.0,94235.0,13593.1,"animal_open:7,melon_lite:7,animal_max:7,hire_ultra:7,land_early:7","(HIRE)|(HIRE)|(HIRE)|(HIRE)|(HIRE)|(HIRE)|(HIRE)|(BUY_SEED,MELON,3)|(BUY_SEED,WHEAT,12)|(BUY_ANIMAL,COW,2)"
Pranshu Ghori,2,0,2,0,0.0,117373.0,142077.0,92669.0,-9605.0,"animal_open:2,melon_rush:2,hire_open_5:2,animal_core:2,hire_max:2","(HIRE)|(HIRE)|(HIRE)|(HIRE)|(HIRE)|(BUY_ANIMAL,SHEEP,2)|(BUY_ANIMAL,COW,2)|(BUY_SEED,WHEAT,7)|(BUY_SEED,MELON,12)"
