episode_id,player,agent,result,day,hour,step,money,delta_money,hands,hires_today,unlocked,n_unlocked,plants,animals,weeds,structures,seeds_wheat,shed_wheat,town_shops,cum_sell_revenue,sell_rev_prev_day,ops_water_prev,ops_feed_prev,ops_care_prev,ops_harvest_prev,ops_plant_prev,ops_move_prev,ops_pass_prev,crop_WHEAT,crop_CARROT,crop_TOMATO,crop_STRAWBERRY,crop_MELON,animal_GOOSE,animal_COW,animal_SHEEP,sell_qty_prev_WHEAT,sell_qty_prev_MELON,sell_qty_prev_STRAWBERRY,sell_qty_prev_MILK,sell_qty_prev_WOOL,sell_qty_prev_EGG,sell_qty_prev_FERTILIZER
90444865,0,Mohit Rao,win,0,0,0,3000.0,0.0,0,0,NW,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90444865,0,Mohit Rao,win,1,0,24,105.0,-2895.0,0,0,NW,1,19,4,0,6,0,0,0,0.0,0.0,19,2,2,0,19,33,46,7,0,0,0,12,0,2,2,0,0,0,0,0,0,0
90444865,0,Mohit Rao,win,2,0,48,14.0,-91.0,0,0,NW,1,19,4,0,6,0,6,0,198.0,198.0,0,4,4,0,0,9,6,7,0,0,0,12,0,2,2,0,0,0,0,0,0,2
90444865,0,Mohit Rao,win,3,0,72,175.0,161.0,0,0,NW,1,19,4,0,6,0,5,1,456.0,258.0,19,2,4,0,0,33,48,7,0,0,0,12,0,2,2,2,0,0,0,0,0,2
90444865,0,Mohit Rao,win,4,0,96,30.0,-145.0,0,0,NW,1,19,5,0,6,0,5,1,844.0,388.0,7,4,4,0,0,31,85,7,0,0,0,12,0,3,2,0,0,0,0,0,0,4
90444865,0,Mohit Rao,win,5,0,120,300.0,270.0,0,0,NW,1,19,5,0,6,0,35,1,1577.0,733.0,28,5,5,7,7,52,29,7,0,0,0,12,0,3,2,5,0,0,0,0,0,6
90444865,0,Mohit Rao,win,6,0,144,946.0,646.0,0,0,NW,1,19,6,0,6,0,6,2,2556.0,979.0,0,4,5,0,0,14,18,7,0,0,0,12,0,4,2,25,0,0,0,0,0,3
90444865,0,Mohit Rao,win,7,0,168,1014.0,68.0,0,0,NW,1,19,6,0,6,0,13,2,3104.0,548.0,19,6,6,2,0,38,36,7,0,0,0,12,0,4,2,3,0,0,0,0,0,5
90444865,0,Mohit Rao,win,8,0,192,592.0,-422.0,0,0,"NE,NW",2,26,10,0,12,0,11,2,6530.0,3426.0,26,7,8,0,7,54,36,7,0,0,7,12,0,6,4,6,0,0,0,12,0,5
90444865,0,Mohit Rao,win,9,0,216,2615.0,2023.0,0,0,"NE,NW",2,30,10,0,12,0,43,3,10713.0,3043.0,31,10,10,9,11,90,49,7,0,0,11,12,0,6,4,0,0,0,12,0,0,7
90444865,0,Mohit Rao,win,10,0,240,2210.0,-405.0,0,0,"NE,NW",2,38,12,0,12,0,21,3,14235.0,4662.0,27,8,10,1,8,88,108,7,0,0,19,12,0,8,4,14,0,0,12,8,0,0
90444865,0,Mohit Rao,win,11,0,264,10960.0,8750.0,0,0,"NE,NW",2,28,12,0,12,0,23,3,30769.0,16534.0,22,12,12,12,0,115,18,7,0,0,19,2,0,8,4,5,54,0,6,8,0,0
90444865,0,Mohit Rao,win,12,0,288,11743.0,783.0,0,0,"NE,NW,SW",3,58,14,0,14,0,25,4,40728.0,9959.0,56,12,14,4,32,120,63,7,0,0,39,12,0,8,6,35,42,0,6,0,0,9
90444865,0,Mohit Rao,win,13,0,312,17536.0,5793.0,0,0,"NE,NW,SW",3,61,14,0,14,0,53,4,50482.0,7046.0,20,14,14,11,10,66,35,7,0,0,42,12,0,8,6,6,6,0,15,8,0,12
90444865,0,Mohit Rao,win,14,0,336,18668.0,1132.0,0,0,"NE,NW,SW",3,61,14,0,14,0,25,4,51680.0,3906.0,51,14,14,1,0,104,27,7,0,0,42,12,0,8,6,14,0,0,3,8,0,11
90444865,0,Mohit Rao,win,15,0,360,23043.0,4375.0,0,0,"NE,NW,SW",3,61,14,0,14,0,39,5,58806.0,7126.0,14,14,14,3,0,69,16,7,0,0,42,12,0,8,6,6,0,0,9,18,0,9
90444865,0,Mohit Rao,win,16,0,384,25310.0,2267.0,0,0,"NE,NW,SW",3,61,14,0,14,0,25,5,63015.0,3111.0,59,14,14,7,0,133,58,7,0,0,42,12,0,8,6,0,0,0,12,0,0,6
90444865,0,Mohit Rao,win,17,0,408,31275.0,5965.0,0,0,"NE,NW,SW",3,61,14,0,14,0,53,5,72266.0,9740.0,28,14,14,11,7,93,14,7,0,0,42,12,0,8,6,6,0,0,33,8,0,11
90444865,0,Mohit Rao,win,18,0,432,36943.0,5668.0,0,0,"NE,NW,SW",3,61,14,0,14,0,25,6,82562.0,5843.0,47,14,14,13,0,129,26,7,0,0,42,12,0,8,6,14,0,6,9,8,0,2
90444865,0,Mohit Rao,win,19,0,456,45543.0,8600.0,0,0,"NE,NW,SW",3,61,14,0,14,0,11,6,92396.0,13036.0,36,14,14,10,0,137,68,7,0,0,42,12,0,8,6,0,0,8,33,22,0,6
90444865,0,Mohit Rao,win,20,0,480,54378.0,8835.0,0,0,"NE,NW,SW",3,61,14,0,14,0,25,6,108818.0,16950.0,47,14,14,22,0,139,32,7,0,0,42,12,0,8,6,6,0,14,21,40,0,5
90444865,0,Mohit Rao,win,21,0,504,57655.0,3277.0,0,0,"NE,NW,SW",3,61,14,0,14,0,59,7,115495.0,6509.0,56,14,14,13,7,159,25,7,0,0,42,12,0,8,6,6,0,22,3,4,0,0
90444865,0,Mohit Rao,win,22,0,528,78208.0,20553.0,0,0,"NE,NW,SW",3,56,14,0,14,0,19,7,140991.0,26411.0,21,14,14,32,0,176,20,7,0,0,42,7,0,8,6,30,60,47,23,17,0,6
90444865,0,Mohit Rao,win,23,0,552,80555.0,2347.0,0,0,"NE,NW,SW",3,57,14,0,14,0,25,7,147902.0,6416.0,55,14,14,25,7,176,6,14,0,0,42,1,0,8,6,20,0,8,6,11,0,0
90444865,0,Mohit Rao,win,24,0,576,95222.0,14667.0,0,0,"NE,NW,SW",3,57,14,0,14,0,11,8,164230.0,15832.0,22,14,14,39,5,177,34,19,0,0,38,0,0,8,6,0,36,47,21,8,0,1
90444865,0,Mohit Rao,win,25,0,600,105117.0,9895.0,0,0,"NE,NW,SW",3,56,14,2,14,0,49,8,175737.0,11174.0,57,14,14,19,11,163,14,23,0,0,33,0,0,8,6,6,12,37,31,8,0,0
90444865,0,Mohit Rao,win,26,0,624,112082.0,6965.0,0,0,"NE,NW,SW",3,51,14,1,14,0,25,8,185314.0,11486.0,23,14,14,32,5,165,21,28,0,0,23,0,0,8,6,16,6,35,21,16,0,0
90444865,0,Mohit Rao,win,27,0,648,112724.0,642.0,0,0,"NE,NW,SW",3,60,14,1,14,1,53,8,188194.0,2880.0,60,14,14,11,17,155,36,37,0,0,23,0,0,8,6,6,0,32,6,4,0,0
90444865,0,Mohit Rao,win,28,0,672,120601.0,7877.0,0,0,"NE,NW,SW",3,52,14,1,14,1,37,8,198280.0,10086.0,31,14,14,32,5,139,45,37,0,0,15,0,0,8,6,22,0,11,30,4,0,27
90444865,0,Mohit Rao,win,29,0,696,130446.0,9845.0,0,0,"NE,NW,SW",3,8,14,2,14,1,49,8,208185.0,9238.0,33,14,14,38,0,167,15,8,0,0,0,0,0,8,6,48,0,33,9,16,0,17
90444865,0,Mohit Rao,win,29,23,719,141713.0,11267.0,5,5,"NE,NW,SW",3,0,14,1,14,1,0,8,219381.0,9238.0,33,14,14,38,0,167,15,0,0,0,0,0,0,8,6,48,0,33,9,16,0,17
90444865,1,Keito,loss,0,0,0,3000.0,0.0,0,0,NW,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90444865,1,Keito,loss,1,0,24,105.0,-2895.0,0,0,NW,1,19,4,0,6,0,0,0,0.0,0.0,19,2,2,0,19,33,46,7,0,0,0,12,0,2,2,0,0,0,0,0,0,0
90444865,1,Keito,loss,2,0,48,14.0,-91.0,0,0,NW,1,19,4,0,6,0,6,0,198.0,198.0,0,4,4,0,0,9,6,7,0,0,0,12,0,2,2,0,0,0,0,0,0,2
90444865,1,Keito,loss,3,0,72,175.0,161.0,0,0,NW,1,19,4,0,6,0,5,1,1417.0,1219.0,19,2,4,0,0,33,48,7,0,0,0,12,0,2,2,33,0,0,0,0,0,2
90444865,1,Keito,loss,4,0,96,61.0,-114.0,0,0,NW,1,19,5,0,6,0,4,1,2115.0,698.0,7,4,4,0,0,31,85,7,0,0,0,12,0,3,2,10,0,0,0,0,0,4
90444865,1,Keito,loss,5,0,120,297.0,236.0,0,0,NW,1,19,5,0,6,0,35,1,2947.0,832.0,28,5,5,7,7,52,29,7,0,0,0,12,0,3,2,8,0,0,0,0,0,6
90444865,1,Keito,loss,6,0,144,943.0,646.0,0,0,NW,1,19,6,0,6,0,6,2,3926.0,979.0,0,4,5,0,0,14,18,7,0,0,0,12,0,4,2,25,0,0,0,0,0,3
90444865,1,Keito,loss,7,0,168,1009.0,66.0,0,0,NW,1,19,6,0,6,0,13,2,4691.0,765.0,19,6,6,2,0,38,36,7,0,0,0,12,0,4,2,10,0,0,0,0,0,5
90444865,1,Keito,loss,8,0,192,587.0,-422.0,0,0,"NE,NW",2,26,10,1,12,0,11,2,9569.0,4878.0,26,7,8,0,7,54,36,7,0,0,7,12,0,6,4,50,0,0,0,12,0,5
90444865,1,Keito,loss,9,0,216,2645.0,2058.0,0,0,"NE,NW",2,30,10,1,12,0,42,3,13752.0,3043.0,31,10,10,9,11,90,49,7,0,0,11,12,0,6,4,0,0,0,12,0,0,7
90444865,1,Keito,loss,10,0,240,2240.0,-405.0,0,0,"NE,NW",2,37,12,0,12,0,20,3,16326.0,3714.0,27,8,10,1,7,88,108,7,0,0,18,12,0,8,4,14,0,0,12,4,0,0
90444865,1,Keito,loss,11,0,264,10971.0,8731.0,0,0,"NE,NW",2,27,12,0,12,0,22,3,33312.0,16986.0,22,12,12,12,0,115,18,7,0,0,18,2,0,8,4,44,54,0,6,4,0,0
90444865,1,Keito,loss,12,0,288,11670.0,699.0,0,0,"NE,NW,SW",3,57,14,0,14,0,24,4,44860.0,11548.0,56,12,14,4,32,120,63,7,0,0,38,12,0,8,6,77,42,0,6,0,0,9
90444865,1,Keito,loss,13,0,312,17455.0,5785.0,0,0,"NE,NW,SW",3,60,14,0,14,0,52,4,55394.0,7826.0,20,14,14,11,10,66,35,7,0,0,41,12,0,8,6,26,6,0,15,8,0,12
90444865,1,Keito,loss,14,0,336,18587.0,1132.0,0,0,"NE,NW,SW",3,60,14,0,14,0,24,4,56592.0,3906.0,51,14,14,1,0,104,27,7,0,0,41,12,0,8,6,14,0,0,3,8,0,11
90444865,1,Keito,loss,15,0,360,22962.0,4375.0,0,0,"NE,NW,SW",3,60,14,0,14,0,38,5,65324.0,8732.0,14,14,14,3,0,69,16,7,0,0,41,12,0,8,6,46,0,0,9,18,0,9
90444865,1,Keito,loss,16,0,384,24265.0,1303.0,0,0,"NE,NW,SW",3,60,14,0,14,0,24,5,68569.0,3111.0,59,14,14,7,0,133,58,7,0,0,41,12,0,8,6,0,0,0,12,0,0,6
90444865,1,Keito,loss,17,0,408,29234.0,4969.0,0,0,"NE,NW,SW",3,60,14,0,14,0,52,5,77669.0,8625.0,28,14,14,11,7,93,14,7,0,0,41,12,0,8,6,25,0,0,33,0,0,11
90444865,1,Keito,loss,18,0,432,36794.0,7560.0,0,0,"NE,NW,SW",3,60,14,0,14,0,24,6,86029.0,3907.0,47,14,14,13,0,129,26,7,0,0,41,12,0,8,6,14,0,6,9,0,0,2
90444865,1,Keito,loss,19,0,456,44426.0,7632.0,0,0,"NE,NW,SW",3,60,14,0,14,0,10,6,94899.0,13036.0,36,14,14,10,0,137,68,7,0,0,41,12,0,8,6,0,0,8,33,22,0,6
90444865,1,Keito,loss,20,0,480,53246.0,8820.0,0,0,"NE,NW,SW",3,60,14,0,14,0,24,6,114127.0,18792.0,47,14,14,22,0,139,32,7,0,0,41,12,0,8,6,67,0,14,21,36,0,5
90444865,1,Keito,loss,21,0,504,57487.0,4241.0,0,0,"NE,NW,SW",3,60,14,0,14,0,58,7,121603.0,7308.0,56,14,14,13,7,159,25,7,0,0,41,12,0,8,6,23,0,22,3,4,0,0
