episode_id,path,seed,agent0,agent1,reward0,reward1,winner,margin,n_steps
90444865,replays\90444865.json,2130581674,Mohit Rao,Keito,141713.0,137225.0,Mohit Rao,4488.0,720
90450223,replays\90450223.json,269682652,wen chong yu,Mohit Rao,84139.0,85215.0,Mohit Rao,1076.0,720
90451020,replays\90451020.json,976765741,Parakh Sharma,Mohit Rao,116273.0,117102.0,Mohit Rao,829.0,720
90464050,replays\90464050.json,1720093943,Konstantin03,Mohit Rao,119292.0,128216.0,Mohit Rao,8924.0,720
90470910,replays\90470910.json,1264661837,JALKARNA GAUTAM,somewhere after,108044.0,107993.0,JALKARNA GAUTAM,51.0,720
90473753,replays\90473753.json,1250560110,JALKARNA GAUTAM,Seb (allegedly),137560.0,136063.0,JALKARNA GAUTAM,1497.0,720
90474408,replays\90474408.json,1179763612,Alon Bar Koter,Abdullah Razi,92143.0,38300.0,Alon Bar Koter,53843.0,720
90479925,replays\90479925.json,431737099,Pranshu Ghori,Mohit Rao,142077.0,143136.0,Mohit Rao,1059.0,720
90483794,replays\90483794.json,1629503818,Seb (allegedly),Cary Jin,102765.0,92843.0,Seb (allegedly),9922.0,720
90485305,replays\90485305.json,2086315449,Seb (allegedly),Anton Shaniuk,130732.0,114460.0,Seb (allegedly),16272.0,720
90491374,replays\90491374.json,496775099,Anton Shaniuk,mountainbob,99694.0,98799.0,Anton Shaniuk,895.0,720
90491408,replays\90491408.json,531589617,Yaroslav,Anton Shaniuk,98476.0,103173.0,Anton Shaniuk,4697.0,720
90491449,replays\90491449.json,732122661,Anton Shaniuk,JALKARNA GAUTAM,101998.0,100612.0,Anton Shaniuk,1386.0,720
90492196,replays\90492196.json,2123831034,Artem Voronov,Yaroslav,124631.0,126518.0,Yaroslav,1887.0,720
90492929,replays\90492929.json,1291935476,Mohit Rao,Akash Deep,130009.0,129364.0,Mohit Rao,645.0,720
90492933,replays\90492933.json,1613314294,JALKARNA GAUTAM,SALAH ELDIN ELNABARAWY,133167.0,134428.0,SALAH ELDIN ELNABARAWY,1261.0,720
90492965,replays\90492965.json,1271850961,Accayo14,Yaroslav,117357.0,118532.0,Yaroslav,1175.0,720
90493718,replays\90493718.json,1836018126,JALKARNA GAUTAM,i3,102097.0,104291.0,i3,2194.0,720
90493725,replays\90493725.json,460880516,Kaileh57,Yaroslav,95939.0,96925.0,Yaroslav,986.0,720
90494364,replays\90494364.json,231975074,Seb (allegedly),Pranshu Ghori,110820.0,92669.0,Seb (allegedly),18151.0,720
90494504,replays\90494504.json,1238171799,i3,Anton Shaniuk,86451.0,84605.0,i3,1846.0,720
90496831,replays\90496831.json,804556914,Seb (allegedly),Yaroslav,102432.0,87572.0,Seb (allegedly),14860.0,720
90497546,replays\90497546.json,1385135442,Anton Shaniuk,lucaskna,114599.0,114217.0,Anton Shaniuk,382.0,720
90497592,replays\90497592.json,1803658832,Seb (allegedly),i3,94235.0,70264.0,Seb (allegedly),23971.0,720
90500613,replays\90500613.json,152655242,SALAH ELDIN ELNABARAWY,Yaroslav,105238.0,102892.0,SALAH ELDIN ELNABARAWY,2346.0,720
90503598,replays\90503598.json,464721713,Seb (allegedly),Scorpi,148637.0,135164.0,Seb (allegedly),13473.0,720
90505160,replays\90505160.json,1431975321,MD Concepcion,Mohit Rao,134380.0,134527.0,Mohit Rao,147.0,720
