episode_id,seed,player,agent,opponent,result,final_money,opponent_money,margin,opening_fingerprint,open_hires,open_animals,open_melon_seeds,open_wheat_seeds,total_hires,median_daily_hires,max_daily_hires,peak_hands,buy_land,second_quadrant_day,n_quadrants_final,unlock_NE,unlock_SW,unlock_SE,plants_wheat,plants_carrot,plants_tomato,plants_strawberry,plants_melon,buy_seed_wheat,buy_seed_melon,buy_seed_strawberry,buy_seed_tomato,buy_seed_carrot,buy_cow,buy_sheep,buy_goose,bought_wheat,wheat_self_ratio,sell_wheat,sell_melon,sell_strawberry,sell_milk,sell_wool,sell_egg,sell_fertilizer,rev_wheat,rev_melon,rev_strawberry,rev_milk,rev_wool,rev_egg,rev_fertilizer,total_sell_revenue,fertilize,care,collect_fertilizer,build_coop,build_pasture,peak_plants,peak_animals,peak_weeds,pct_move,pct_field,pct_pass,total_unit_actions,op_water,op_feed,op_care,op_harvest,op_plant,op_pass,strategies,first_sell_melon,first_sell_milk,first_sell_wool,first_sell_strawberry,n_action_rows,n_market_rows
90444865,2130581674,0,Mohit Rao,Keito,win,141713.0,137225.0,4488.0,"(HIRE)|(HIRE)|(HIRE)|(HIRE)|(HIRE)|(BUY_ANIMAL,SHEEP,2)|(BUY_ANIMAL,COW,2)|(BUY_SEED,WHEAT,7)|(BUY_SEED,MELON,12)",5,4,12,7,277,10.0,14,14,2,7,3,7,11,,92,0,0,42,24,92,24,42,0,0,8,6,0,618,0.13,381,216,308,342,240,0,171,17087.0,27942.0,38534.0,67250.0,57666.0,0,10902.0,219381.0,77,322,248,0,14,61,14,12,44.72,36.01,15.4,6901,922,314,322,373,158,1063,"animal_open,melon_rush,hire_open_5,animal_core,hire_max,land_early,berry_plant_heavy,melon_plant_heavy,wheat_buyer,animal_care_heavy,fert_seller,primary_dairy,dairy_focus,wool_focus",10,8,7,17,6901,723
90444865,2130581674,1,Keito,Mohit Rao,loss,137225.0,141713.0,-4488.0,"(HIRE)|(HIRE)|(HIRE)|(HIRE)|(HIRE)|(BUY_ANIMAL,SHEEP,2)|(BUY_ANIMAL,COW,2)|(BUY_SEED,WHEAT,7)|(BUY_SEED,MELON,12)",5,4,12,7,277,10.0,14,14,2,7,3,7,11,,92,0,0,41,24,92,24,42,0,0,8,6,0,1021,0.083,776,216,308,339,212,0,171,33096.0,27906.0,38534.0,66724.0,50930.0,0,10902.0,228092.0,77,322,248,0,14,61,14,11,44.72,36.01,15.4,6901,922,314,322,373,157,1063,"animal_open,melon_rush,hire_open_5,animal_core,hire_max,land_early,berry_plant_heavy,melon_plant_heavy,wheat_buyer,animal_care_heavy,fert_seller,primary_dairy,dairy_focus,wool_support",10,8,7,17,6901,906
90450223,269682652,0,wen chong yu,Mohit Rao,loss,84139.0,85215.0,-1076.0,"(HIRE)|(HIRE)|(HIRE)|(HIRE)|(HIRE)|(BUY_ANIMAL,SHEEP,2)|(BUY_ANIMAL,COW,2)|(BUY_SEED,WHEAT,7)|(BUY_SEED,MELON,12)",5,4,12,7,277,10.0,14,14,2,7,3,7,11,,92,0,0,42,24,92,24,42,0,0,8,6,0,1021,0.083,776,210,308,336,232,0,171,33445.0,27828.0,34235.0,19552.0,25899.0,0,10902.0,151861.0,77,322,248,0,14,61,14,11,44.72,36.01,15.4,6901,922,314,322,373,158,1063,"animal_open,melon_rush,hire_open_5,animal_core,hire_max,land_early,berry_plant_heavy,melon_plant_heavy,wheat_buyer,animal_care_heavy,fert_seller,primary_berry,berry_support,wool_support,melon_support",10,8,7,17,6901,912
90450223,269682652,1,Mohit Rao,wen chong yu,win,85215.0,84139.0,1076.0,"(HIRE)|(HIRE)|(HIRE)|(HIRE)|(HIRE)|(BUY_ANIMAL,SHEEP,2)|(BUY_ANIMAL,COW,2)|(BUY_SEED,WHEAT,7)|(BUY_SEED,MELON,12)",5,4,12,7,277,10.0,14,14,2,7,3,7,11,,92,0,0,42,24,92,24,42,0,0,8,6,0,618,0.13,374,216,308,340,240,0,171,16917.0,27942.0,34235.0,19604.0,26071.0,0,10902.0,135671.0,77,322,248,0,14,61,14,11,44.72,36.01,15.4,6901,922,314,322,373,158,1063,"animal_open,melon_rush,hire_open_5,animal_core,hire_max,land_early,berry_plant_heavy,melon_plant_heavy,wheat_buyer,animal_care_heavy,fert_seller,primary_berry,berry_support,wool_support,melon_support",10,8,7,17,6901,723
90451020,976765741,0,Parakh Sharma,Mohit Rao,loss,116273.0,117102.0,-829.0,"(HIRE)|(HIRE)|(HIRE)|(HIRE)|(HIRE)|(BUY_ANIMAL,SHEEP,2)|(BUY_ANIMAL,COW,2)|(BUY_SEED,WHEAT,7)|(BUY_SEED,MELON,12)",5,4,12,7,277,9.5,14,14,2,7,3,7,11,,92,0,0,42,24,92,24,42,0,0,8,6,0,1005,0.084,757,156,313,333,228,0,174,32243.0,19464.0,24397.0,55518.0,53882.0,0,11068.0,196572.0,80,322,254,0,14,61,14,11,44.78,36.14,15.17,6901,922,314,322,374,158,1047,"animal_open,melon_rush,hire_open_5,animal_core,hire_max,land_early,berry_plant_heavy,melon_plant_heavy,wheat_buyer,animal_care_heavy,fert_seller,primary_dairy,dairy_focus,wool_focus",10,8,7,17,6901,902
90451020,976765741,1,Mohit Rao,Parakh Sharma,win,117102.0,116273.0,829.0,"(HIRE)|(HIRE)|(HIRE)|(HIRE)|(HIRE)|(BUY_ANIMAL,SHEEP,2)|(BUY_ANIMAL,COW,2)|(BUY_SEED,WHEAT,7)|(BUY_SEED,MELON,12)",5,4,12,7,277,10.0,14,14,2,7,3,7,11,,92,0,0,42,24,92,24,42,0,0,8,6,0,618,0.13,375,216,308,342,240,0,171,16751.0,28032.0,25638.0,55952.0,56683.0,0,11038.0,194094.0,77,322,248,0,14,61,14,13,44.72,36.01,15.4,6901,922,314,322,373,158,1063,"animal_open,melon_rush,hire_open_5,animal_core,hire_max,land_early,berry_plant_heavy,melon_plant_heavy,wheat_buyer,animal_care_heavy,fert_seller,primary_wool,dairy_focus,wool_focus",10,8,7,17,6901,723
90464050,1720093943,0,Konstantin03,Mohit Rao,loss,119292.0,128216.0,-8924.0,"(HIRE)|(HIRE)|(HIRE)|(HIRE)|(HIRE)|(BUY_ANIMAL,SHEEP,2)|(BUY_ANIMAL,COW,2)|(BUY_SEED,WHEAT,7)|(BUY_SEED,MELON,12)",5,4,12,7,275,9.5,14,14,2,7,3,7,11,,92,0,0,42,24,92,24,42,0,0,8,6,0,1025,0.082,790,144,290,237,164,0,182,33751.0,17888.0,38807.0,49968.0,16470.0,0,11380.0,168264.0,75,322,257,0,14,61,14,12,45.02,36.04,15.05,6859,921,314,322,355,158,1032,"animal_open,melon_rush,hire_open_5,animal_core,hire_max,land_early,berry_plant_heavy,melon_plant_heavy,wheat_buyer,animal_care_heavy,fert_seller,primary_dairy,berry_support,dairy_focus",10,8,7,17,6859,876
90464050,1720093943,1,Mohit Rao,Konstantin03,win,128216.0,119292.0,8924.0,"(HIRE)|(HIRE)|(HIRE)|(HIRE)|(HIRE)|(BUY_ANIMAL,SHEEP,2)|(BUY_ANIMAL,COW,2)|(BUY_SEED,WHEAT,7)|(BUY_SEED,MELON,12)",5,4,12,7,277,10.0,14,14,2,7,3,7,11,,92,0,0,42,24,92,24,42,0,0,8,6,0,618,0.13,378,216,308,342,240,0,171,16949.0,31098.0,44237.0,73231.0,23217.0,0,10983.0,199715.0,77,322,248,0,14,61,14,11,44.72,36.01,15.4,6901,922,314,322,373,158,1063,"animal_open,melon_rush,hire_open_5,animal_core,hire_max,land_early,berry_plant_heavy,melon_plant_heavy,wheat_buyer,animal_care_heavy,fert_seller,primary_dairy,berry_support,dairy_focus,melon_support",10,8,7,17,6901,723
90470910,1264661837,0,JALKARNA GAUTAM,somewhere after,win,108044.0,107993.0,51.0,"(HIRE)|(HIRE)|(HIRE)|(HIRE)|(HIRE)|(BUY_ANIMAL,SHEEP,2)|(BUY_ANIMAL,COW,2)|(BUY_SEED,WHEAT,7)|(BUY_SEED,MELON,12)",5,4,12,7,277,10.0,14,14,2,7,3,7,11,,92,0,0,42,24,92,24,42,0,0,8,6,0,1021,0.083,776,144,308,237,164,0,171,34743.0,17910.0,49033.0,13278.0,27712.0,0,10902.0,153578.0,77,322,248,0,14,61,14,12,44.72,36.01,15.4,6901,922,314,322,373,158,1063,"animal_open,melon_rush,hire_open_5,animal_core,hire_max,land_early,berry_plant_heavy,melon_plant_heavy,wheat_buyer,animal_care_heavy,fert_seller,primary_berry,berry_engine,wool_support",10,8,7,17,6901,868
90470910,1264661837,1,somewhere after,JALKARNA GAUTAM,loss,107993.0,108044.0,-51.0,"(HIRE)|(HIRE)|(HIRE)|(HIRE)|(HIRE)|(BUY_ANIMAL,SHEEP,2)|(BUY_ANIMAL,COW,2)|(BUY_SEED,WHEAT,7)|(BUY_SEED,MELON,12)",5,4,12,7,276,9.5,14,14,2,7,3,7,11,,92,0,0,42,24,92,24,42,0,0,8,6,0,1026,0.082,773,210,308,318,246,0,171,34605.0,27828.0,49033.0,17758.0,40318.0,0,10902.0,180444.0,78,322,249,0,14,61,14,11,44.69,36.18,15.23,6880,924,314,322,373,158,1048,"animal_open,melon_rush,hire_open_5,animal_core,hire_max,land_early,berry_plant_heavy,melon_plant_heavy,wheat_buyer,animal_care_heavy,fert_seller,primary_berry,berry_support,wool_support,melon_support",10,8,7,17,6880,902
