strategy,games,wins,win_rate,avg_money
primary_dairy,20,10,0.5,122642.6
dairy_focus,19,10,0.526,122590.5
hire_open_7,6,5,0.833,120542.0
animal_care_ultra,6,5,0.833,120486.5
melon_lite,7,6,0.857,117954.9
animal_max,7,6,0.857,117954.9
fert_seller_heavy,7,6,0.857,117954.9
wool_focus,20,11,0.55,117000.8
berry_plant_heavy,51,25,0.49,113277.0
land_early,52,26,0.5,113068.5
melon_plant_heavy,53,27,0.509,112673.6
dairy_support,12,5,0.417,112444.3
animal_care_heavy,46,21,0.457,112100.9
melon_rush,46,21,0.457,111870.0
hire_max,46,21,0.457,111870.0
hire_open_5,47,22,0.468,111669.2
animal_open,53,26,0.491,111657.7
wheat_buyer,54,27,0.5,111296.4
berry_engine,20,13,0.65,110946.9
animal_core,46,20,0.435,110699.5
fert_seller,47,21,0.447,110304.7
berry_support,20,8,0.4,109786.8
hire_ultra,8,6,0.75,107998.0
wool_support,17,8,0.471,107500.2
primary_berry,23,12,0.522,106370.7
primary_wool,10,5,0.5,101468.5
melon_support,22,13,0.591,100888.3
primary_wheat,1,0,0.0,95939.0
melon_focus,2,1,0.5,88374.0
land_mid,2,1,0.5,65221.5
